AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2020/2021;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;F;10
2020/2021;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;M;1
2020/2021;11;Lingue e culture moderne;F;386
2020/2021;11;Lingue e culture moderne;M;74
2020/2021;12;Scienze biologiche;F;371
2020/2021;12;Scienze biologiche;M;89
2020/2021;13;Scienze dei beni culturali;F;372
2020/2021;13;Scienze dei beni culturali;M;94
2020/2021;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;F;8
2020/2021;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;M;7
2020/2021;14;Scienze della comunicazione;F;225
2020/2021;14;Scienze della comunicazione;M;101
2020/2021;14/S;Specialistiche in farmacia e farmacia industriale;F;1362
2020/2021;14/S;Specialistiche in farmacia e farmacia industriale;M;446
2020/2021;15;Scienze politiche e delle relazioni internazionali;F;171
2020/2021;15;Scienze politiche e delle relazioni internazionali;M;160
2020/2021;15/S;Specialistiche in filologia e letterature dell'antichita;F;7
2020/2021;15/S;Specialistiche in filologia e letterature dell'antichita;M;3
2020/2021;16;Scienze della Terra;F;15
2020/2021;16;Scienze della Terra;M;33
2020/2021;16/S;Specialistiche in filologia moderna;F;29
2020/2021;16/S;Specialistiche in filologia moderna;M;5
2020/2021;17;Scienze dell'economia e della gestione aziendale;F;667
2020/2021;17;Scienze dell'economia e della gestione aziendale;M;472
2020/2021;17/S;Specialistiche in filosofia e storia della scienza;F;1
2020/2021;17/S;Specialistiche in filosofia e storia della scienza;M;1
2020/2021;18;Scienze dell'educazione e della formazione;F;556
2020/2021;18;Scienze dell'educazione e della formazione;M;53
2020/2021;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;F;8
2020/2021;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;M;8
2020/2021;18-bis;Scienze della Formazione Primaria - Quadriennale;F;805
2020/2021;18-bis;Scienze della Formazione Primaria - Quadriennale;M;41
2020/2021;19;Scienze dell'amministrazione;F;103
2020/2021;19;Scienze dell'amministrazione;M;89
2020/2021;19/S;Specialistiche in finanza;F;3
2020/2021;19/S;Specialistiche in finanza;M;3
2020/2021;20;Scienze e tecnologie agrarie, agroalimentari e forestali;F;104
2020/2021;20;Scienze e tecnologie agrarie, agroalimentari e forestali;M;142
2020/2021;20/S;Specialistiche in fisica;F;6
2020/2021;20/S;Specialistiche in fisica;M;9
2020/2021;21;Scienze e tecnologie chimiche;F;56
2020/2021;21;Scienze e tecnologie chimiche;M;62
2020/2021;21/S;Specialistiche in geografia;F;2
2020/2021;21/S;Specialistiche in geografia;M;2
2020/2021;22;Scienze e tecnologie della navigazione marittima e aerea;F;1
2020/2021;22;Scienze e tecnologie della navigazione marittima e aerea;M;3
2020/2021;22/S;Specialistiche in giurisprudenza;F;63
2020/2021;22/S;Specialistiche in giurisprudenza;M;35
2020/2021;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;F;83
2020/2021;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;M;40
2020/2021;23/S;Specialistiche in informatica;F;8
2020/2021;23/S;Specialistiche in informatica;M;34
2020/2021;24;Scienze e tecnologie farmaceutiche;F;156
2020/2021;24;Scienze e tecnologie farmaceutiche;M;37
2020/2021;24/S;Specialistiche in informatica per le discipline umanistiche;M;1
2020/2021;25;Scienze e tecnologie fisiche;F;36
2020/2021;25;Scienze e tecnologie fisiche;M;76
2020/2021;25/S;Specialistiche in ingegneria aerospaziale e astronautica;F;1
2020/2021;25/S;Specialistiche in ingegneria aerospaziale e astronautica;M;8
2020/2021;26;Scienze e tecnologie informatiche;F;52
2020/2021;26;Scienze e tecnologie informatiche;M;310
2020/2021;26/S;Specialistiche in ingegneria biomedica;F;3
2020/2021;26/S;Specialistiche in ingegneria biomedica;M;3
2020/2021;27;Scienze e tecnologie per l'ambiente e la natura;F;56
2020/2021;27;Scienze e tecnologie per l'ambiente e la natura;M;50
2020/2021;27/S;Specialistiche in ingegneria chimica;F;3
2020/2021;27/S;Specialistiche in ingegneria chimica;M;2
2020/2021;28;Scienze economiche;F;250
2020/2021;28;Scienze economiche;M;179
2020/2021;28/S;Specialistiche in ingegneria civile;F;7
2020/2021;28/S;Specialistiche in ingegneria civile;M;26
2020/2021;29;Filosofia;F;103
2020/2021;29;Filosofia;M;89
2020/2021;29/S;Specialistiche in ingegneria dell'automazione;F;2
2020/2021;29/S;Specialistiche in ingegneria dell'automazione;M;6
2020/2021;30;Scienze geografiche;F;12
2020/2021;30;Scienze geografiche;M;10
2020/2021;30/S;Specialistiche in ingegneria delle telecomunicazioni;F;1
2020/2021;30/S;Specialistiche in ingegneria delle telecomunicazioni;M;12
2020/2021;31;Scienze giuridiche;F;308
2020/2021;31;Scienze giuridiche;M;157
2020/2021;31/S;Specialistiche in ingegneria elettrica;F;1
2020/2021;31/S;Specialistiche in ingegneria elettrica;M;7
2020/2021;31-bis;Scienze giuridiche - Quinquennale;F;42
2020/2021;31-bis;Scienze giuridiche - Quinquennale;M;19
2020/2021;32;Scienze matematiche;F;79
2020/2021;32;Scienze matematiche;M;39
2020/2021;32/S;Specialistiche in ingegneria elettronica;F;6
2020/2021;32/S;Specialistiche in ingegneria elettronica;M;18
2020/2021;33;Scienze delle attivita motorie e sportive;F;65
2020/2021;33;Scienze delle attivita motorie e sportive;M;138
2020/2021;33/S;Specialistiche in ingegneria energetica e nucleare;F;1
2020/2021;33/S;Specialistiche in ingegneria energetica e nucleare;M;3
2020/2021;34;Scienze e tecniche psicologiche;F;390
2020/2021;34;Scienze e tecniche psicologiche;M;99
2020/2021;34/S;Specialistiche in ingegneria gestionale;F;12
2020/2021;34/S;Specialistiche in ingegneria gestionale;M;19
2020/2021;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;26
2020/2021;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;14
2020/2021;35/S;Specialistiche in ingegneria informatica;F;3
2020/2021;35/S;Specialistiche in ingegneria informatica;M;47
2020/2021;36;Scienze sociologiche;F;78
2020/2021;36;Scienze sociologiche;M;36
2020/2021;36/S;Specialistiche in ingegneria meccanica;F;2
2020/2021;36/S;Specialistiche in ingegneria meccanica;M;31
2020/2021;37;Scienze statistiche;F;13
2020/2021;37;Scienze statistiche;M;11
2020/2021;37/S;Specialistiche in ingegneria navale;M;2
2020/2021;38;Scienze storiche;F;53
2020/2021;38;Scienze storiche;M;88
2020/2021;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;F;10
2020/2021;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;M;13
2020/2021;39;Scienze del turismo;F;79
2020/2021;39;Scienze del turismo;M;14
2020/2021;39/S;Specialistiche in interpretariato di conferenza;F;2
2020/2021;40;Scienze e tecnologie zootecniche e delle produzioni animali;F;44
2020/2021;40;Scienze e tecnologie zootecniche e delle produzioni animali;M;10
2020/2021;40/S;Specialistiche in lingua e cultura italiana;F;5
2020/2021;40/S;Specialistiche in lingua e cultura italiana;M;2
2020/2021;41;Tecnologie per la conservazione e il restauro dei beni culturali;F;9
2020/2021;41;Tecnologie per la conservazione e il restauro dei beni culturali;M;3
2020/2021;41/S;Specialistiche in lingue e letterature afroasiatiche;M;1
2020/2021;42;Disegno industriale;F;17
2020/2021;42;Disegno industriale;M;26
2020/2021;42/S;Specialistiche in lingue e letterature moderne euroamericane;F;21
2020/2021;42/S;Specialistiche in lingue e letterature moderne euroamericane;M;2
2020/2021;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;F;16
2020/2021;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;M;2
2020/2021;44/S;Specialistiche in linguistica;F;2
2020/2021;44/S;Specialistiche in linguistica;M;2
2020/2021;45/S;Specialistiche in matematica;F;9
2020/2021;45/S;Specialistiche in matematica;M;4
2020/2021;46/S;Specialistiche in medicina e chirurgia;F;1518
2020/2021;46/S;Specialistiche in medicina e chirurgia;M;965
2020/2021;47/S;Specialistiche in medicina veterinaria;F;297
2020/2021;47/S;Specialistiche in medicina veterinaria;M;101
2020/2021;51/S;Specialistiche in musicologia e beni musicali;M;1
2020/2021;52/S;Specialistiche in odontoiatria e protesi dentaria;F;31
2020/2021;52/S;Specialistiche in odontoiatria e protesi dentaria;M;59
2020/2021;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;F;4
2020/2021;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;M;1
2020/2021;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;F;8
2020/2021;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;F;36
2020/2021;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;M;5
2020/2021;58/S;Specialistiche in psicologia;F;62
2020/2021;58/S;Specialistiche in psicologia;M;10
2020/2021;59/S;Specialistiche in pubblicita e comunicazione d'impresa;F;4
2020/2021;59/S;Specialistiche in pubblicita e comunicazione d'impresa;M;2
2020/2021;60/S;Specialistiche in relazioni internazionali;F;12
2020/2021;60/S;Specialistiche in relazioni internazionali;M;13
2020/2021;61/S;Specialistiche in scienza e ingegneria dei materiali;M;2
2020/2021;62/S;Specialistiche in scienze chimiche;F;2
2020/2021;62/S;Specialistiche in scienze chimiche;M;2
2020/2021;64/S;Specialistiche in scienze dell'economia;F;10
2020/2021;64/S;Specialistiche in scienze dell'economia;M;15
2020/2021;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;F;7
2020/2021;66/S;Specialistiche in scienze dell'universo;M;2
2020/2021;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;F;2
2020/2021;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;M;1
2020/2021;68/S;Specialistiche in scienze della natura;F;4
2020/2021;69/S;Specialistiche in scienze della nutrizione umana;F;2
2020/2021;69/S;Specialistiche in scienze della nutrizione umana;M;1
2020/2021;70/S;Specialistiche in scienze della politica;F;8
2020/2021;70/S;Specialistiche in scienze della politica;M;10
2020/2021;71/S;Specialistiche in scienze delle pubbliche amministrazioni;F;7
2020/2021;71/S;Specialistiche in scienze delle pubbliche amministrazioni;M;15
2020/2021;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;F;4
2020/2021;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;M;4
2020/2021;75/S;Specialistiche in scienze e tecnica dello sport;F;2
2020/2021;75/S;Specialistiche in scienze e tecnica dello sport;M;4
2020/2021;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;F;3
2020/2021;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;M;5
2020/2021;77/S;Specialistiche in scienze e tecnologie agrarie;F;1
2020/2021;77/S;Specialistiche in scienze e tecnologie agrarie;M;6
2020/2021;78/S;Specialistiche in scienze e tecnologie agroalimentari;F;2
2020/2021;78/S;Specialistiche in scienze e tecnologie agroalimentari;M;1
2020/2021;81/S;Specialistiche in scienze e tecnologie della chimica industriale;M;1
2020/2021;82/S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;M;1
2020/2021;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;F;2
2020/2021;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;M;2
2020/2021;84/S;Specialistiche in scienze economico-aziendali;F;55
2020/2021;84/S;Specialistiche in scienze economico-aziendali;M;40
2020/2021;86/S;Specialistiche in scienze geologiche;F;1
2020/2021;86/S;Specialistiche in scienze geologiche;M;2
2020/2021;87/S;Specialistiche in scienze pedagogiche;F;15
2020/2021;87/S;Specialistiche in scienze pedagogiche;M;3
2020/2021;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;F;3
2020/2021;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;M;1
2020/2021;89/S;Specialistiche in sociologia;F;13
2020/2021;89/S;Specialistiche in sociologia;M;3
2020/2021;90/S;Specialistiche in statistica demografica e sociale;F;1
2020/2021;90/S;Specialistiche in statistica demografica e sociale;M;2
2020/2021;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;F;4
2020/2021;92/S;Specialistiche in statistica per la ricerca sperimentale;M;2
2020/2021;93/S;Specialistiche in storia antica;M;1
2020/2021;94/S;Specialistiche in storia contemporanea;F;6
2020/2021;94/S;Specialistiche in storia contemporanea;M;1
2020/2021;95/S;Specialistiche in storia dell'arte;F;20
2020/2021;95/S;Specialistiche in storia dell'arte;M;1
2020/2021;96/S;Specialistiche in storia della filosofia;F;6
2020/2021;96/S;Specialistiche in storia della filosofia;M;5
2020/2021;97/S;Specialistiche in storia medievale;F;2
2020/2021;97/S;Specialistiche in storia medievale;M;3
2020/2021;98/S;Specialistiche in storia moderna;F;4
2020/2021;99/S;Specialistiche in studi europei;F;6
2020/2021;99/S;Specialistiche in studi europei;M;2
2020/2021;99999;Classe non definita;F;4747
2020/2021;99999;Classe non definita;M;3125
2020/2021;DS1;Scienze della difesa e della sicurezza;F;12
2020/2021;DS1;Scienze della difesa e della sicurezza;M;26
2020/2021;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;F;3
2020/2021;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;M;7
2020/2021;L/DS;Scienze della difesa e della sicurezza;F;333
2020/2021;L/DS;Scienze della difesa e della sicurezza;M;909
2020/2021;L/GASTR;Scienze, culture e politiche della gastronomia;F;870
2020/2021;L/GASTR;Scienze, culture e politiche della gastronomia;M;848
2020/2021;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;36809
2020/2021;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;11800
2020/2021;L/SNT2;Professioni sanitarie della riabilitazione;F;9604
2020/2021;L/SNT2;Professioni sanitarie della riabilitazione;M;5292
2020/2021;L/SNT3;Professioni sanitarie tecniche;F;6366
2020/2021;L/SNT3;Professioni sanitarie tecniche;M;3665
2020/2021;L/SNT4;Professioni sanitarie della prevenzione;F;1566
2020/2021;L/SNT4;Professioni sanitarie della prevenzione;M;1211
2020/2021;L-01;Beni culturali;F;15446
2020/2021;L-01;Beni culturali;M;5193
2020/2021;L-02;Biotecnologie;F;12839
2020/2021;L-02;Biotecnologie;M;6129
2020/2021;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;8815
2020/2021;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;4380
2020/2021;L-04;Disegno industriale;F;6930
2020/2021;L-04;Disegno industriale;M;4728
2020/2021;L-05;Filosofia;F;6880
2020/2021;L-05;Filosofia;M;6953
2020/2021;L-06;Geografia;F;365
2020/2021;L-06;Geografia;M;395
2020/2021;L-07;Ingegneria civile e ambientale;F;5561
2020/2021;L-07;Ingegneria civile e ambientale;M;14140
2020/2021;L-08;Ingegneria dell'informazione;F;13116
2020/2021;L-08;Ingegneria dell'informazione;M;47481
2020/2021;L-09;Ingegneria industriale;F;20232
2020/2021;L-09;Ingegneria industriale;M;65861
2020/2021;L-10;Lettere;F;26200
2020/2021;L-10;Lettere;M;9971
2020/2021;L-11;Lingue e culture moderne;F;38436
2020/2021;L-11;Lingue e culture moderne;M;9333
2020/2021;L-12;Mediazione linguistica;F;28057
2020/2021;L-12;Mediazione linguistica;M;6033
2020/2021;L-13;Scienze biologiche;F;21245
2020/2021;L-13;Scienze biologiche;M;8507
2020/2021;L-14;Scienze dei servizi giuridici;F;14890
2020/2021;L-14;Scienze dei servizi giuridici;M;11262
2020/2021;L-15;Scienze del turismo;F;7251
2020/2021;L-15;Scienze del turismo;M;2797
2020/2021;L-16;Scienze dell'amministrazione e dell'organizzazione;F;4896
2020/2021;L-16;Scienze dell'amministrazione e dell'organizzazione;M;3539
2020/2021;L-17;Scienze dell'architettura;F;5584
2020/2021;L-17;Scienze dell'architettura;M;4292
2020/2021;L-18;Scienze dell'economia e della gestione aziendale;F;57541
2020/2021;L-18;Scienze dell'economia e della gestione aziendale;M;74185
2020/2021;L-19;Scienze dell'educazione e della formazione;F;53529
2020/2021;L-19;Scienze dell'educazione e della formazione;M;5180
2020/2021;L-20;Scienze della comunicazione;F;28559
2020/2021;L-20;Scienze della comunicazione;M;15014
2020/2021;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;672
2020/2021;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;871
2020/2021;L-22;Scienze delle attività motorie e sportive;F;13347
2020/2021;L-22;Scienze delle attività motorie e sportive;M;33089
2020/2021;L-23;Scienze e tecniche dell'edilizia;F;1401
2020/2021;L-23;Scienze e tecniche dell'edilizia;M;2275
2020/2021;L-24;Scienze e tecniche psicologiche;F;34204
2020/2021;L-24;Scienze e tecniche psicologiche;M;9890
2020/2021;L-25;Scienze e tecnologie agrarie e forestali;F;3876
2020/2021;L-25;Scienze e tecnologie agrarie e forestali;M;9824
2020/2021;L-26;Scienze e tecnologie alimentari;F;6009
2020/2021;L-26;Scienze e tecnologie alimentari;M;5783
2020/2021;L-27;Scienze e tecnologie chimiche;F;6046
2020/2021;L-27;Scienze e tecnologie chimiche;M;6807
2020/2021;L-28;Scienze e tecnologie della navigazione;F;283
2020/2021;L-28;Scienze e tecnologie della navigazione;M;1108
2020/2021;L-29;Scienze e tecnologie farmaceutiche;F;5329
2020/2021;L-29;Scienze e tecnologie farmaceutiche;M;1719
2020/2021;L-30;Scienze e tecnologie fisiche;F;4248
2020/2021;L-30;Scienze e tecnologie fisiche;M;8383
2020/2021;L-31;Scienze e tecnologie informatiche;F;3921
2020/2021;L-31;Scienze e tecnologie informatiche;M;26576
2020/2021;L-32;Scienze e tecnologie per l'ambiente e la natura;F;5325
2020/2021;L-32;Scienze e tecnologie per l'ambiente e la natura;M;4684
2020/2021;L-33;Scienze economiche;F;17120
2020/2021;L-33;Scienze economiche;M;24009
2020/2021;L-34;Scienze geologiche;F;1102
2020/2021;L-34;Scienze geologiche;M;2130
2020/2021;L-35;Scienze matematiche;F;5260
2020/2021;L-35;Scienze matematiche;M;5502
2020/2021;L-36;Scienze politiche e delle relazioni internazionali;F;18439
2020/2021;L-36;Scienze politiche e delle relazioni internazionali;M;16551
2020/2021;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;1457
2020/2021;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;1032
2020/2021;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;3758
2020/2021;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;1332
2020/2021;L-39;Servizio sociale;F;13333
2020/2021;L-39;Servizio sociale;M;1376
2020/2021;L-40;Sociologia;F;7765
2020/2021;L-40;Sociologia;M;2967
2020/2021;L-41;Statistica;F;1882
2020/2021;L-41;Statistica;M;2830
2020/2021;L-42;Storia;F;3415
2020/2021;L-42;Storia;M;6128
2020/2021;L-43;Diagnostica per la conservazione dei beni culturali;F;438
2020/2021;L-43;Diagnostica per la conservazione dei beni culturali;M;97
2020/2021;LM/DS;Scienze della difesa e della sicurezza;F;163
2020/2021;LM/DS;Scienze della difesa e della sicurezza;M;664
2020/2021;LM/GASTR;Scienze economiche  e sociali della gastronomia;F;62
2020/2021;LM/GASTR;Scienze economiche  e sociali della gastronomia;M;59
2020/2021;LM/SC-GIUR;Scienze Giuridiche;F;369
2020/2021;LM/SC-GIUR;Scienze Giuridiche;M;166
2020/2021;LM/SNT1;Scienze infermieristiche e ostetriche;F;2413
2020/2021;LM/SNT1;Scienze infermieristiche e ostetriche;M;957
2020/2021;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;944
2020/2021;LM/SNT2;Scienze riabilitative delle professioni sanitarie;M;309
2020/2021;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;521
2020/2021;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;376
2020/2021;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;250
2020/2021;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;M;254
2020/2021;LM-01;Antropologia culturale ed etnologia;F;1223
2020/2021;LM-01;Antropologia culturale ed etnologia;M;514
2020/2021;LM-02;Archeologia;F;1679
2020/2021;LM-02;Archeologia;M;868
2020/2021;LM-03;Architettura del paesaggio;F;395
2020/2021;LM-03;Architettura del paesaggio;M;224
2020/2021;LM-04;Architettura e ingegneria edile-architettura;F;4619
2020/2021;LM-04;Architettura e ingegneria edile-architettura;M;3257
2020/2021;LM-04cu;Architettura e ingegneria edile-architettura (quinquennale);F;9465
2020/2021;LM-04cu;Architettura e ingegneria edile-architettura (quinquennale);M;6707
2020/2021;LM-05;Archivistica e biblioteconomia;F;361
2020/2021;LM-05;Archivistica e biblioteconomia;M;109
2020/2021;LM-06;Biologia;F;7637
2020/2021;LM-06;Biologia;M;2905
2020/2021;LM-07;Biotecnologie agrarie;F;445
2020/2021;LM-07;Biotecnologie agrarie;M;352
2020/2021;LM-08;Biotecnologie industriali;F;1033
2020/2021;LM-08;Biotecnologie industriali;M;789
2020/2021;LM-09;Biotecnologie mediche, veterinarie e farmaceutiche;F;3973
2020/2021;LM-09;Biotecnologie mediche, veterinarie e farmaceutiche;M;1522
2020/2021;LM-10;Conservazione dei beni architettonici e ambientali;M;1
2020/2021;LM-11;Scienze per la conservazione dei beni culturali;F;211
2020/2021;LM-11;Scienze per la conservazione dei beni culturali;M;51
2020/2021;LM-12;Design;F;2300
2020/2021;LM-12;Design;M;1337
2020/2021;LM-13;Farmacia e farmacia industriale;F;27330
2020/2021;LM-13;Farmacia e farmacia industriale;M;9599
2020/2021;LM-14;Filologia moderna;F;8954
2020/2021;LM-14;Filologia moderna;M;2786
2020/2021;LM-15;Filologia, letterature e storia dell'antichità;F;1267
2020/2021;LM-15;Filologia, letterature e storia dell'antichità;M;578
2020/2021;LM-16;Finanza;F;975
2020/2021;LM-16;Finanza;M;2110
2020/2021;LM-17;Fisica;F;1159
2020/2021;LM-17;Fisica;M;3114
2020/2021;LM-18;Informatica;F;779
2020/2021;LM-18;Informatica;M;4029
2020/2021;LM-19;Informazione e sistemi editoriali;F;1758
2020/2021;LM-19;Informazione e sistemi editoriali;M;698
2020/2021;LM-20;Ingegneria aerospaziale e astronautica;F;764
2020/2021;LM-20;Ingegneria aerospaziale e astronautica;M;3417
2020/2021;LM-21;Ingegneria biomedica;F;3208
2020/2021;LM-21;Ingegneria biomedica;M;2145
2020/2021;LM-22;Ingegneria chimica;F;1351
2020/2021;LM-22;Ingegneria chimica;M;1566
2020/2021;LM-23;Ingegneria civile;F;2108
2020/2021;LM-23;Ingegneria civile;M;5172
2020/2021;LM-24;Ingegneria dei sistemi edilizi;F;1063
2020/2021;LM-24;Ingegneria dei sistemi edilizi;M;1341
2020/2021;LM-25;Ingegneria dell'automazione;F;488
2020/2021;LM-25;Ingegneria dell'automazione;M;2536
2020/2021;LM-26;Ingegneria della sicurezza;F;500
2020/2021;LM-26;Ingegneria della sicurezza;M;1863
2020/2021;LM-27;Ingegneria delle telecomunicazioni;F;566
2020/2021;LM-27;Ingegneria delle telecomunicazioni;M;1579
2020/2021;LM-28;Ingegneria elettrica;F;288
2020/2021;LM-28;Ingegneria elettrica;M;1697
2020/2021;LM-29;Ingegneria elettronica;F;585
2020/2021;LM-29;Ingegneria elettronica;M;3000
2020/2021;LM-30;Ingegneria energetica e nucleare;F;703
2020/2021;LM-30;Ingegneria energetica e nucleare;M;2656
2020/2021;LM-31;Ingegneria gestionale;F;3956
2020/2021;LM-31;Ingegneria gestionale;M;6900
2020/2021;LM-32;Ingegneria informatica;F;1577
2020/2021;LM-32;Ingegneria informatica;M;8427
2020/2021;LM-33;Ingegneria meccanica;F;1485
2020/2021;LM-33;Ingegneria meccanica;M;10824
2020/2021;LM-34;Ingegneria navale;F;86
2020/2021;LM-34;Ingegneria navale;M;349
2020/2021;LM-35;Ingegneria per l'ambiente e il territorio;F;1175
2020/2021;LM-35;Ingegneria per l'ambiente e il territorio;M;1724
2020/2021;LM-36;Lingue e letterature dell'Africa e dell'Asia;F;835
2020/2021;LM-36;Lingue e letterature dell'Africa e dell'Asia;M;264
2020/2021;LM-37;Lingue e letterature moderne europee e americane;F;8366
2020/2021;LM-37;Lingue e letterature moderne europee e americane;M;1443
2020/2021;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;F;6934
2020/2021;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;1070
2020/2021;LM-39;Linguistica;F;2977
2020/2021;LM-39;Linguistica;M;605
2020/2021;LM-40;Matematica;F;1685
2020/2021;LM-40;Matematica;M;1699
2020/2021;LM-41;Medicina e chirurgia;F;46620
2020/2021;LM-41;Medicina e chirurgia;M;34563
2020/2021;LM-42;Medicina veterinaria;F;3651
2020/2021;LM-42;Medicina veterinaria;M;1402
2020/2021;LM-43;Metodologie informatiche per le discipline umanistiche;F;301
2020/2021;LM-43;Metodologie informatiche per le discipline umanistiche;M;148
2020/2021;LM-44;Modellistica matematico-fisica per l'ingegneria;F;435
2020/2021;LM-44;Modellistica matematico-fisica per l'ingegneria;M;1057
